Date,Origin,Dest,Depart,Arrive,Hobbs,Flight Time,Flight Distance,Fuel,Fuel/hr,Fuel/nm,Altitude,Speed
"Sat, Jun 10, 2017",,,18:37,18:37,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Jun 10, 2017",KAGC,KIPT,06:48,07:54,1.05 hrs,0.86 hrs,150.33 nm,11.65 gal,11.11 gal/hr,0.08 gal/nm,5055 msl,167 kts
"Sat, Jun 10, 2017",,,06:10,06:11,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Jun 9, 2017",KBAF,KAGC,15:05,17:42,2.5 hrs,2.33 hrs,345.05 nm,36.46 gal,14.59 gal/hr,0.11 gal/nm,6075 msl,142 kts
"Fri, Jun 9, 2017",KBAF,KBAF,14:46,14:49,0.04 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Jun 9, 2017",KAGC,KBAF,12:12,14:26,2.13 hrs,1.94 hrs,348.27 nm,29.30 gal,13.73 gal/hr,0.08 gal/nm,11012 msl,172 kts
"Fri, Jun 9, 2017",KPVD,KAGC,08:52,11:48,2.79 hrs,2.54 hrs,399.10 nm,40.16 gal,14.42 gal/hr,0.10 gal/nm,6052 msl,150 kts
"Thu, Jun 8, 2017",KBED,KPVD,16:59,17:52,0.84 hrs,0.40 hrs,57.30 nm,7.61 gal,9.12 gal/hr,0.13 gal/nm,3097 msl,138 kts
"Thu, Jun 8, 2017",,,16:45,16:46,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, Jun 7, 2017",KASH,KBED,14:29,14:52,0.36 hrs,0.17 hrs,24.46 nm,3.58 gal,10.07 gal/hr,0.15 gal/nm,2531 msl,134 kts
"Wed, Jun 7, 2017",KASH,KASH,14:04,14:12,0.13 hrs,0.00 hrs,0.00 nm,0.81 gal,6.40 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Jun 6, 2017",,,17:50,17:51,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Jun 6, 2017",KASH,KASH,15:28,16:56,1.47 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Jun 6, 2017",KASH,KASH,15:12,15:28,0.27 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Jun 6, 2017",KASH,KASH,14:58,15:11,0.22 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Jun 6, 2017",KASH,KASH,07:21,07:40,0.32 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Mon, Jun 5, 2017",KASH,KASH,10:45,10:47,0.03 hrs,0.00 hrs,0.00 nm,0.14 gal,4.43 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sun, Jun 4, 2017",KBED,KASH,10:24,10:53,0.47 hrs,0.26 hrs,33.38 nm,4.96 gal,10.68 gal/hr,0.15 gal/nm,2024 msl,121 kts
"Wed, May 31, 2017",KACK,KBED,13:27,14:26,0.94 hrs,0.76 hrs,129.89 nm,15.03 gal,16.02 gal/hr,0.12 gal/nm,4013 msl,162 kts
"Wed, May 31, 2017",KHTO,KACK,11:38,12:40,1 hrs,0.82 hrs,143.48 nm,16.50 gal,16.58 gal/hr,0.11 gal/nm,7025 msl,168 kts
"Wed, May 31, 2017",KHTO,KHTO,11:36,11:37,0.02 hrs,0.00 hrs,0.00 nm,0.01 gal,0.58 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, May 31, 2017",KBED,KHTO,10:04,11:17,1.15 hrs,1.00 hrs,154.47 nm,19.26 gal,16.82 gal/hr,0.12 gal/nm,6012 msl,147 kts
"Wed, May 31, 2017",KBED,KBED,10:00,10:04,0.07 hrs,0.00 hrs,0.00 nm,0.20 gal,3.10 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, May 31, 2017",,,09:59,09:59,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, May 30, 2017",KHTO,KBED,18:01,18:58,0.92 hrs,0.67 hrs,119.72 nm,13.53 gal,14.73 gal/hr,0.11 gal/nm,5012 msl,171 kts
